in:location,in:Orientation,in:ObstructAngle,in:Width,in:Depth,in:Ceiling Height,in:Wall Thickness,in:Window Width,in:Window Bottom Sill,in:Window Top Sill,in:Spacing Between Windows,in:WWR,in:Ceiling Reflectance,in:Wall Reflectance,in:Floor Reflectance,in:Shade Trigger Distance (1000 direct),out:sDA300
 SC,270,20,40,40,10,0.5,2,2.5,9.7,4,0.216,80,60,20,1,0.231
 PH,90,0,40,30,9,0.5,1,0.3,8.7,1,0.443333333,80,60,20,5,0.517
 SC,180,20,40,30,12,1,1,2.5,11.7,2,0.249166667,80,60,20,5,0.172
 PH,180,0,40,50,9,1,4,2.5,8.7,2,0.413333333,80,60,20,1,0.306
 PH,0,40,40,40,10,1.5,4,0.3,9.7,1,0.658,80,60,20,1,0.256
 SC,270,40,40,50,9,1,1,2.5,8.7,1,0.327222222,80,60,20,1,0
 PH,270,20,40,50,10,0.5,3,0.3,9.7,2,0.4935,80,60,20,5,0.306
 SC,180,40,40,40,10,0.5,4,2.5,9.7,3,0.36,80,60,20,1,0.256
 PH,90,0,40,50,9,1,3,2.5,8.7,1,0.465,80,60,20,5,0.306
 SC,180,0,40,50,12,1.5,4,2.5,11.7,1,0.536666667,80,60,20,1,0.449
 SC,90,40,40,50,12,1.5,2,0.3,11.7,1,0.57,80,60,20,5,0.245
 PH,270,0,40,50,9,1.5,4,2.5,8.7,2,0.413333333,80,60,20,1,0.143
 PH,180,20,40,50,10,0.5,3,2.5,9.7,2,0.378,80,60,20,5,0.367
 SC,90,0,40,50,9,1,1,0.3,8.7,4,0.163333333,80,60,20,1,0
 PH,0,0,40,40,10,1.5,1,0.3,9.7,3,0.2115,80,60,20,1,0
 SC,90,0,40,50,10,1,3,0.3,9.7,4,0.3525,80,60,20,5,0.184
 SC,180,20,40,30,9,1,3,0.3,8.7,3,0.42,80,60,20,5,0.379
 SC,180,40,40,40,12,1,1,2.5,11.7,2,0.249166667,80,60,20,1,0.103
 PH,180,40,40,50,10,1.5,4,0.3,9.7,1,0.658,80,60,20,1,0.388
 PH,0,20,40,30,12,0.5,2,0.3,11.7,2,0.4275,80,60,20,5,0.828
